medicine_name
Materia Medica by William Boericke
Materia Medica by William Boericke
"ANGUSTURA VERA"
"ANISUM STELLATUM"
"ANILINUM"
"ANTIMONIUM ARSENICOSUM"
"ANTHRACOKALI"
"ANTHRACINUM"
"ANEMOPSIS CALIFORNICA"
"ANTHEMIS NOBILIS"
"ANHALONIUM LEWINII"
"ANANTHERUM MURICATUM"
"ANAGALLIS ARVENSIS"
"AMYLENUM NITROSUM"
"ANACARDIUM ORIENTALE"
"AMPELOPSIS QUINQUEFOLIA"
"ZIZIA AUREA"
"AMYGDALUS PERSICA"
"ZINGIBER OFFICINALE"
"XANTOXYLUM FRAXINEUM"
"ZINCUM VALERIANICUM"
"ZINCUM METALLICUM"
"WYETHIA HELENOIDES"
"YUCCA FILAMENTOSA"
"X-RAY"
"YOHIMBINUM"
"XEROPHYLLUM"
"VIPERA BERUS"
"VINCA MINOR"
"VIOLA TRICOLOR"
"VISCUM ALBUM"
"VIBURNUM OPULUS"
"VIOLA ODORATA"
"VESPA CRABRO"
"VERBENA URTICAEFOLIA"
"VERBASCUM THAPSUS"
"VERATRUM VIRIDE"
"VERATRUM ALBUM"
"VALERIANA OFFICINALIS"
"VACCININUM"
"VANILLA AROMATICA"
"VARIOLINUM"
"VANADIUM METALLICUM"
"USTILAGO MAYDIS"
"UVA URSI"
"USNEA BARBATA"
"URTICA URENS"
"UREA PURA"
"URANIUM NITRICUM"
"TUSSILAGO PETASITES"
"UPAS TIEUT"
"TROMBIDIUM MUSCAE DOMESTICAE"
"TUBERCULINUM"
"TRILLIUM PENDULUM"
"TRIFOLIUM PRATENSE"
"TRIBULUS TERRESTRIS"
"TRITICUM REPENS-AGROPYRON REPENS"
"TRIOSTEUM PERFOLIATUM"
"TRINITROTOLUENUM"
"TORULA CEREVISIAE"
"TONGO-DIPTERIX ODORATA"
"THYMUS SERPYLLUM"
"THYMOLUM"
"THUJA OCCIDENTALIS"
"TITANIUM METALLICUM"
"TILIA EUROPAEA"
"THYROIDINUM"
"THLASPI BURSA PASTORIS"
"THIOSINAMINUM"
"THERIDION CURASSAVICUM"
"THEA CHINENSIS"
"THALLIUM METALLICUM"
"TEUCRIUM MARUM VERUM"
"TELLURIUM METALLICUM"
"TEREBINTHINIAE OLEUM"
"TARTARICUM ACIDUM"
"TAXUS BACCATA"
"TARENTULA CUBENSIS"
"TARENTULA HISPANICA"
"TARAXACUM OFFICINALE"
"TANNICUM ACIDUM"
"TANACETUM VULGARE"
"TABACUM"
"SYPHILINUM"
"SYMPHORICARPUS RACEMOSUS"
"SYZYGIUM JAMBOLANUM"
"SYMPHYTUM OFFICINALE"
"SUMBULUS MOSCHATUS"
"SULPHUROSUM ACIDUM"
"SULPHUR IODATUM"
"SULPHURICUM ACIDUM"
"SULPHUR"
"STRYCHNINUM PHOSPHORICUM"
"STROPHANTHUS HISPIDUS"
"STRONTIUM CARBONICUM"
"SULFONALUM"
"SUCCINUM"
"STRYCHNOS GAULTHERIANA"
"STRYCHNINUM PURUM"
"STRAMONIUM"
"STELLARIA MEDIA"
"STAPHYSAGRIA"
"STANNUM METALLICUM"
"STACHYS BETONICA"
"STILLINGIA SILVATICA"
"STIGMATA MAYDIS"
"STICTA PULMONARIA"
"SQUILLA MARITIMA"
"SPONGIA TOSTA"
"SPIRANTHES AUTUMNALIS"
"SPIRAEA ULMARIA"
"SPIGELIA ANTHELMIA"
"SOLIDAGO VIRGAUREA"
"SOLANUM NIGRUM"
"SKOOKUM CHUCK AQUA"
